Total_Population,Median_Income,Median_Home_Value,Unemployed_Pop,Bachelors_Holders,StateFIPS,CountyFIPS,TractFIPS
3094.0,250001.0,1802100.0,90.0,890.0,6,1,400100
2093.0,225880.0,1930000.0,59.0,577.0,6,1,400200
5727.0,157731.0,1850900.0,261.0,1698.0,6,1,400300
4395.0,159612.0,1398400.0,5.0,1235.0,6,1,400400
3822.0,96250.0,1313500.0,190.0,960.0,6,1,400500
1957.0,134583.0,1215800.0,20.0,495.0,6,1,400600
4404.0,111302.0,1098200.0,151.0,1110.0,6,1,400700
4583.0,129844.0,1054000.0,15.0,1276.0,6,1,400800
2752.0,111131.0,1101100.0,116.0,495.0,6,1,400900
6529.0,131845.0,943700.0,308.0,2043.0,6,1,401000
5627.0,95479.0,1110000.0,264.0,1687.0,6,1,401100
3068.0,117593.0,1172000.0,53.0,989.0,6,1,401200
4368.0,105556.0,793300.0,116.0,1306.0,6,1,401300
4876.0,87208.0,846800.0,274.0,917.0,6,1,401400
2827.0,62744.0,828300.0,194.0,528.0,6,1,401500
2617.0,135234.0,766300.0,169.0,502.0,6,1,401600
3519.0,146840.0,758000.0,103.0,1042.0,6,1,401700
1816.0,69500.0,1041000.0,35.0,493.0,6,1,401800
2385.0,111364.0,727700.0,100.0,871.0,6,1,402200
2727.0,42078.0,752500.0,163.0,402.0,6,1,402400
1877.0,-666666666.0,947300.0,134.0,281.0,6,1,402500
1255.0,48362.0,796900.0,57.0,291.0,6,1,402600
2056.0,97250.0,892900.0,93.0,485.0,6,1,402700
2911.0,42546.0,797600.0,132.0,638.0,6,1,402801
1527.0,18552.0,663800.0,134.0,249.0,6,1,402802
2111.0,41094.0,-666666666.0,61.0,544.0,6,1,402900
3125.0,50966.0,580500.0,129.0,625.0,6,1,403000
2174.0,154095.0,659800.0,100.0,771.0,6,1,403100
1807.0,35694.0,641200.0,39.0,264.0,6,1,403301
2687.0,142114.0,655900.0,83.0,1064.0,6,1,403302
2641.0,71979.0,900500.0,76.0,654.0,6,1,403401
955.0,91731.0,-666666666.0,49.0,281.0,6,1,403402
5421.0,123981.0,1045000.0,217.0,1735.0,6,1,403501
1885.0,95556.0,670000.0,27.0,665.0,6,1,403502
4902.0,105588.0,889800.0,127.0,1543.0,6,1,403600
2875.0,91030.0,645700.0,19.0,780.0,6,1,403701
2264.0,120795.0,1004800.0,87.0,721.0,6,1,403702
3996.0,153750.0,1419400.0,127.0,1208.0,6,1,403800
3864.0,104342.0,592400.0,127.0,1434.0,6,1,403900
2984.0,104919.0,741300.0,141.0,981.0,6,1,404000
3155.0,123508.0,1131400.0,36.0,1023.0,6,1,404101
2623.0,108750.0,705100.0,54.0,831.0,6,1,404102
3584.0,246193.0,1758200.0,108.0,745.0,6,1,404200
3510.0,215972.0,1991600.0,76.0,782.0,6,1,404300
5657.0,218272.0,1399900.0,79.0,1603.0,6,1,404400
1830.0,239271.0,1965500.0,41.0,447.0,6,1,404501
6038.0,246431.0,1359100.0,151.0,1797.0,6,1,404502
4767.0,226838.0,1272100.0,144.0,1386.0,6,1,404600
2223.0,250001.0,1531400.0,60.0,680.0,6,1,404700
2622.0,97813.0,1176600.0,150.0,592.0,6,1,404800
4798.0,131921.0,1199500.0,78.0,1247.0,6,1,404900
3670.0,146932.0,1405200.0,99.0,824.0,6,1,405000
4451.0,250001.0,1915500.0,20.0,1128.0,6,1,405100
4916.0,107298.0,1074700.0,36.0,1272.0,6,1,405200
2934.0,113299.0,860600.0,73.0,1176.0,6,1,405301
2560.0,63906.0,702600.0,70.0,886.0,6,1,405302
