origin_id,destination_id,am_peak_min,late_night_min,off_peak_delay_min
06001402200,06001400100,66.0,87.0,21.0
06001402200,06001400200,32.0,43.0,11.0
06001402200,06001400300,34.0,39.0,5.0
06001402200,06001400400,40.0,50.0,10.0
06001402200,06001400500,36.0,45.0,9.0
06001402200,06001400600,31.0,40.0,9.0
06001402200,06001400700,37.0,45.0,8.0
06001402200,06001400800,38.0,43.0,5.0
06001402200,06001400900,37.0,42.0,5.0
06001402200,06001401000,28.0,38.0,10.0
06001402200,06001401100,24.0,37.0,13.0
06001402200,06001401200,33.0,37.0,4.0
06001402200,06001401300,31.0,32.0,1.0
06001402200,06001401400,30.0,34.0,4.0
06001402200,06001401500,34.0,36.0,2.0
06001402200,06001401600,34.0,35.0,1.0
06001402200,06001401700,84.0,88.0,4.0
06001402200,06001401800,9.0,9.0,0.0
06001402200,06001402200,0.0,0.0,0.0
06001402200,06001402400,29.0,30.0,1.0
06001402200,06001402500,18.0,18.0,0.0
06001402200,06001402600,20.0,20.0,0.0
06001402200,06001402700,27.0,27.0,0.0
06001402200,06001402801,19.0,26.0,7.0
06001402200,06001402802,19.0,25.0,6.0
06001402200,06001402900,17.0,27.0,10.0
06001402200,06001403000,19.0,21.0,2.0
06001402200,06001403100,19.0,21.0,2.0
06001402200,06001403301,21.0,23.0,2.0
06001402200,06001403302,27.0,29.0,2.0
06001402200,06001403401,36.0,44.0,8.0
06001402200,06001403402,22.0,24.0,2.0
06001402200,06001403501,32.0,34.0,2.0
06001402200,06001403502,37.0,36.0,-1.0
06001402200,06001403600,37.0,45.0,8.0
06001402200,06001403701,32.0,36.0,4.0
06001402200,06001403702,35.0,36.0,1.0
06001402200,06001403800,40.0,45.0,5.0
06001402200,06001403900,40.0,46.0,6.0
06001402200,06001404000,35.0,42.0,7.0
06001402200,06001404101,41.0,45.0,4.0
06001402200,06001404102,38.0,43.0,5.0
06001402200,06001404200,81.0,88.0,7.0
06001402200,06001404300,45.0,56.0,11.0
06001402200,06001404400,120.0,120.0,0.0
06001402200,06001404501,51.0,65.0,14.0
06001402200,06001404502,65.0,79.0,14.0
06001402200,06001404600,100.0,120.0,20.0
06001402200,06001404700,54.0,68.0,14.0
06001402200,06001404800,51.0,48.0,-3.0
06001402200,06001404900,40.0,48.0,8.0
06001402200,06001405000,42.0,52.0,10.0
06001402200,06001405100,48.0,56.0,8.0
06001402200,06001405200,36.0,40.0,4.0
06001402200,06001405301,30.0,33.0,3.0
06001402200,06001405302,26.0,31.0,5.0
06001402200,06001405401,31.0,36.0,5.0
06001402200,06001405402,31.0,38.0,7.0
06001402200,06001405500,33.0,42.0,9.0
06001402200,06001405600,34.0,44.0,10.0
06001402200,06001405700,43.0,43.0,0.0
06001402200,06001405800,45.0,49.0,4.0
06001402200,06001405901,36.0,42.0,6.0
06001402200,06001405902,35.0,43.0,8.0
06001402200,06001406000,40.0,59.0,19.0
06001402200,06001406100,27.0,31.0,4.0
06001402200,06001406201,35.0,43.0,8.0
06001402200,06001406202,38.0,36.0,-2.0
06001402200,06001406300,46.0,40.0,-6.0
06001402200,06001406400,53.0,45.0,-8.0
06001402200,06001406500,42.0,42.0,0.0
06001402200,06001406601,46.0,49.0,3.0
06001402200,06001406602,48.0,41.0,-7.0
06001402200,06001406700,55.0,62.0,7.0
06001402200,06001406800,46.0,49.0,3.0
06001402200,06001406900,58.0,61.0,3.0
06001402200,06001407000,48.0,51.0,3.0
06001402200,06001407101,40.0,47.0,7.0
06001402200,06001407102,49.0,53.0,4.0
06001402200,06001407200,33.0,35.0,2.0
06001402200,06001407300,49.0,53.0,4.0
06001402200,06001407400,38.0,43.0,5.0
06001402200,06001407500,45.0,51.0,6.0
06001402200,06001407600,51.0,56.0,5.0
06001402200,06001407700,53.0,59.0,6.0
06001402200,06001407800,51.0,56.0,5.0
06001402200,06001407900,63.0,65.0,2.0
06001402200,06001408000,80.0,86.0,6.0
06001402200,06001408100,70.0,74.0,4.0
06001402200,06001408200,56.0,53.0,-3.0
06001402200,06001408300,58.0,57.0,-1.0
06001402200,06001408400,59.0,45.0,-14.0
06001402200,06001408500,53.0,42.0,-11.0
06001402200,06001408600,54.0,41.0,-13.0
06001402200,06001408700,49.0,55.0,6.0
06001402200,06001408800,39.0,40.0,1.0
06001402200,06001408900,39.0,37.0,-2.0
06001402200,06001409000,67.0,63.0,-4.0
06001402200,06001409100,56.0,50.0,-6.0
06001402200,06001409200,60.0,64.0,4.0
06001402200,06001409300,54.0,56.0,2.0
06001402200,06001409400,58.0,56.0,-2.0
06001402200,06001409500,49.0,47.0,-2.0
06001402200,06001409600,52.0,54.0,2.0
06001402200,06001409700,60.0,57.0,-3.0
06001402200,06001409800,63.0,65.0,2.0
06001402200,06001409900,120.0,120.0,0.0
06001402200,06001410000,85.0,76.0,-9.0
06001402200,06001410100,65.0,60.0,-5.0
06001402200,06001410200,60.0,57.0,-3.0
06001402200,06001410300,55.0,49.0,-6.0
06001402200,06001410400,51.0,61.0,10.0
06001402200,06001410500,18.0,18.0,0.0
06001402200,06001420100,52.0,65.0,13.0
06001402200,06001420200,49.0,57.0,8.0
06001402200,06001420301,56.0,66.0,10.0
06001402200,06001420302,79.0,85.0,6.0
06001402200,06001420401,48.0,56.0,8.0
06001402200,06001420402,85.0,90.0,5.0
06001402200,06001420500,51.0,56.0,5.0
06001402200,06001420600,58.0,67.0,9.0
06001402200,06001421100,74.0,86.0,12.0
06001402200,06001421200,56.0,73.0,17.0
06001402200,06001421300,53.0,61.0,8.0
06001402200,06001421400,49.0,60.0,11.0
06001402200,06001421500,74.0,86.0,12.0
06001402200,06001421600,68.0,71.0,3.0
06001402200,06001421700,44.0,55.0,11.0
06001402200,06001421800,44.0,58.0,14.0
06001402200,06001421900,49.0,58.0,9.0
06001402200,06001422000,45.0,80.0,35.0
06001402200,06001422100,48.0,55.0,7.0
06001402200,06001422200,38.0,54.0,16.0
06001402200,06001422300,36.0,52.0,16.0
06001402200,06001422400,35.0,50.0,15.0
06001402200,06001422500,47.0,55.0,8.0
06001402200,06001422700,41.0,57.0,16.0
06001402200,06001422800,35.0,51.0,16.0
06001402200,06001422901,32.0,46.0,14.0
06001402200,06001422902,30.0,45.0,15.0
06001402200,06001423000,42.0,54.0,12.0
06001402200,06001423100,45.0,53.0,8.0
06001402200,06001423200,45.0,51.0,6.0
06001402200,06001423300,46.0,49.0,3.0
06001402200,06001423400,42.0,53.0,11.0
06001402200,06001423500,35.0,48.0,13.0
06001402200,06001423601,42.0,55.0,13.0
06001402200,06001423602,41.0,56.0,15.0
06001402200,06001423700,40.0,58.0,18.0
06001402200,06001423800,40.0,61.0,21.0
06001402200,06001423901,29.0,44.0,15.0
06001402200,06001423902,42.0,53.0,11.0
06001402200,06001424001,33.0,47.0,14.0
06001402200,06001424002,42.0,48.0,6.0
06001402200,06001425101,61.0,61.0,0.0
06001402200,06001425102,44.0,41.0,-3.0
06001402200,06001425103,44.0,44.0,0.0
06001402200,06001425104,37.0,37.0,0.0
06001402200,06001426100,66.0,61.0,-5.0
06001402200,06001426200,56.0,45.0,-11.0
06001402200,06001427100,41.0,52.0,11.0
06001402200,06001427200,52.0,60.0,8.0
06001402200,06001427300,46.0,51.0,5.0
06001402200,06001427600,41.0,45.0,4.0
06001402200,06001427700,56.0,58.0,2.0
06001402200,06001427800,41.0,42.0,1.0
06001402200,06001427900,44.0,47.0,3.0
06001402200,06001428000,39.0,49.0,10.0
06001402200,06001428100,43.0,56.0,13.0
06001402200,06001428200,57.0,58.0,1.0
06001402200,06001428301,74.0,120.0,46.0
06001402200,06001428302,63.0,120.0,57.0
06001402200,06001428400,60.0,57.0,-3.0
06001402200,06001428500,48.0,50.0,2.0
06001402200,06001428600,46.0,56.0,10.0
06001402200,06001428700,49.0,65.0,16.0
06001402200,06001430101,120.0,120.0,0.0
06001402200,06001430102,120.0,120.0,0.0
06001402200,06001430200,120.0,120.0,0.0
06001402200,06001430300,85.0,80.0,-5.0
06001402200,06001430400,120.0,120.0,0.0
06001402200,06001430500,70.0,76.0,6.0
06001402200,06001430600,65.0,84.0,19.0
06001402200,06001430700,77.0,66.0,-11.0
06001402200,06001430800,58.0,57.0,-1.0
06001402200,06001430900,68.0,64.0,-4.0
06001402200,06001431000,52.0,48.0,-4.0
06001402200,06001431100,60.0,62.0,2.0
06001402200,06001431200,67.0,52.0,-15.0
06001402200,06001432100,64.0,55.0,-9.0
06001402200,06001432200,49.0,56.0,7.0
06001402200,06001432300,48.0,50.0,2.0
06001402200,06001432400,69.0,76.0,7.0
06001402200,06001432501,52.0,54.0,2.0
06001402200,06001432502,53.0,55.0,2.0
06001402200,06001432601,34.0,36.0,2.0
06001402200,06001432602,46.0,43.0,-3.0
06001402200,06001432700,57.0,48.0,-9.0
06001402200,06001432800,86.0,77.0,-9.0
06001402200,06001433000,56.0,50.0,-6.0
06001402200,06001433102,46.0,51.0,5.0
06001402200,06001433103,55.0,49.0,-6.0
06001402200,06001433104,50.0,49.0,-1.0
06001402200,06001433200,47.0,57.0,10.0
06001402200,06001433300,63.0,73.0,10.0
06001402200,06001433400,101.0,102.0,1.0
06001402200,06001433500,75.0,60.0,-15.0
06001402200,06001433600,72.0,53.0,-19.0
06001402200,06001433700,61.0,68.0,7.0
06001402200,06001433801,52.0,51.0,-1.0
